manager_id,first_name,last_name,email,phone,hire_date,seniority_level
1,Phillip,Taylor,mgr1_stefanieburton@example.com,0586003346,2022-06-21,Junior
2,Gina,Velazquez,mgr2_kingdouglas@example.org,0550433591,2025-02-25,Mid
3,Randy,Tanner,mgr3_nicholsonleslie@example.com,0540958961,2023-03-11,Senior
4,Ashley,Sparks,mgr4_shelleymcintyre@example.org,0534143473,2022-03-04,Senior
5,Melissa,Sheppard,mgr5_guzmandonald@example.net,0588291840,2023-02-08,Senior
6,Katrina,Freeman,mgr6_candacerodriguez@example.com,0538739151,2022-04-04,Senior
7,Valerie,Sullivan,mgr7_kathryncastillo@example.org,0577079481,2022-06-19,Executive
8,Anna,Smith,mgr8_isimpson@example.net,0589363835,2023-10-15,Executive
9,Amy,Hicks,mgr9_fbrown@example.com,0599862448,2024-04-04,Mid
10,Jonathan,Harris,mgr10_sheryl67@example.org,0512408852,2025-11-28,Executive
11,Christopher,Roberts,mgr11_bhoward@example.org,0538154245,2021-12-01,Senior
12,Christina,Lambert,mgr12_ricardo29@example.org,0541433377,2025-02-20,Executive
13,Kristen,Beasley,mgr13_emily74@example.net,0529539259,2021-08-03,Mid
14,Jessica,Holloway,mgr14_stephen76@example.com,0579824930,2022-01-23,Junior
15,Kristie,Perez,mgr15_smolina@example.net,0518460668,2025-07-23,Mid
16,Edward,Gardner,mgr16_garrettchristopher@example.com,0550387132,2025-12-23,Senior
17,Travis,Bowman,mgr17_rachel99@example.net,0500475021,2023-01-11,Executive
18,Stacy,Short,mgr18_huffheather@example.net,0514498103,2022-02-14,Senior
19,Rachael,Ortiz,mgr19_casey06@example.net,0576914110,2022-02-21,Executive
20,Ronald,Tapia,mgr20_thomas99@example.com,0500453554,2022-06-12,Junior
21,Andrew,Chung,mgr21_twilson@example.com,0565561428,2023-07-19,Executive
22,Willie,Morales,mgr22_fosterstephanie@example.com,0510560642,2025-11-14,Executive
23,Timothy,Arnold,mgr23_rmunoz@example.org,0573881953,2024-07-08,Senior
24,Melissa,Anderson,mgr24_kevin92@example.com,0523366738,2021-06-01,Mid
25,Joshua,Martinez,mgr25_steven10@example.com,0511277601,2024-04-05,Executive
26,William,Cooper,mgr26_erinsmith@example.net,0518663072,2022-10-28,Senior
27,Jamie,Ryan,mgr27_williamsbrenda@example.net,0563247005,2022-08-24,Junior
28,Luis,Ramirez,mgr28_xgardner@example.org,0545188872,2023-03-15,Senior
29,Jose,Harvey,mgr29_armstrongvictor@example.org,0525053784,2023-06-25,Junior
30,David,Zimmerman,mgr30_djennings@example.net,0511224664,2023-09-11,Mid
31,Michelle,Christensen,mgr31_xrangel@example.net,0570661245,2026-03-25,Senior
32,Catherine,Malone,mgr32_leblancjake@example.org,0536362904,2023-09-05,Junior
33,Juan,Zuniga,mgr33_jclark@example.net,0520306843,2024-09-30,Mid
34,Stacey,Coleman,mgr34_rossharold@example.net,0509223015,2024-07-20,Junior
35,Alexander,Mccall,mgr35_wilkersonjennifer@example.org,0504614040,2026-01-25,Senior
